folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0401250304,1,01,urbano,7323,136,3,2,16330.973333333333,4660.52,2366.33,0.0,0.0
0401257805,1,01,urbano,7201,115,5,4,8473.282000000001,4660.52,2366.33,0.0,0.0
0401263001,1,01,urbano,5212,127,3,2,12102.13,4660.52,2366.33,0.0,0.0
0401264502,1,01,urbano,2712,110,2,1,86382.79,4660.52,2366.33,0.0,0.0
0401295503,1,01,urbano,2271,140,2,1,48371.05,4660.52,2366.33,0.0,0.0
0401320501,1,01,urbano,2173,133,5,4,16074.083999999999,4660.52,2366.33,0.0,0.0
0401323703,1,01,urbano,7332,99,1,0,4868.85,4660.52,2366.33,0.0,0.0
0401324401,1,01,urbano,2551,98,3,2,13107.373333333335,4660.52,2366.33,0.0,0.0
0401376006,1,01,urbano,5212,75,3,2,7769.59,4660.52,2366.33,0.0,0.0
0401392609,1,01,urbano,2271,133,4,3,12606.1425,4660.52,2366.33,0.0,0.0
0401396305,1,01,urbano,7321,123,2,1,20614.385,4660.52,2366.33,0.0,0.0
0401400023,1,01,urbano,7332,117,4,3,7429.055,4660.52,2366.33,0.0,0.0
0401400508,1,01,urbano,5212,117,2,1,30864.285,4660.52,2366.33,0.0,0.0
0461407019,1,01,rural,7332,120,5,4,3461.9199999999996,3342.21,1795.77,0.0,0.0
0461407405,1,01,rural,2271,120,4,3,12607.8025,3342.21,1795.77,0.0,0.0
0461407608,1,01,rural,7332,120,2,1,7009.37,3342.21,1795.77,0.0,0.0
0461408301,1,01,rural,7332,148,6,5,10991.813333333334,3342.21,1795.77,0.0,0.0
0461408512,1,01,rural,7332,148,6,5,3248.8799999999997,3342.21,1795.77,1.0,0.0
0461408919,1,01,rural,7332,148,2,1,16307.91,3342.21,1795.77,0.0,0.0
0461408921,1,01,rural,7332,148,3,2,12343.873333333335,3342.21,1795.77,0.0,0.0
0461408922,1,01,rural,7332,148,2,1,30478.95,3342.21,1795.77,0.0,0.0
0461408923,1,01,rural,7332,148,8,7,15445.87875,3342.21,1795.77,0.0,0.0
0461408924,1,01,rural,7332,148,5,4,8628.630000000001,3342.21,1795.77,0.0,0.0
0461413408,1,01,rural,7353,124,4,3,9942.9475,3342.21,1795.77,0.0,0.0
0461415409,1,01,rural,5212,115,4,3,5857.2375,3342.21,1795.77,0.0,0.0
0461429611,1,01,rural,7343,132,5,4,4253.602,3342.21,1795.77,0.0,0.0
0501432802,1,01,urbano,7322,253,3,2,45475.40666666667,4660.52,2366.33,0.0,0.0
0501440506,1,01,urbano,2652,253,3,2,18097.823333333334,4660.52,2366.33,0.0,0.0
0501442901,1,01,urbano,2625,225,6,5,6436.371666666667,4660.52,2366.33,0.0,0.0
0501445602,1,01,urbano,4312,290,5,4,10366.916000000001,4660.52,2366.33,0.0,0.0
0501449502,1,01,urbano,2655,243,1,0,55400.99,4660.52,2366.33,0.0,0.0
