folioviv,foliohog,numren,ambito,sinco,factor_w,_insegalim_modsev_proxy,_insegalim_severa_proxy
0903294705,1,01,urbano,7322,1276,0,0
0903298902,1,01,urbano,5212,1604,0,0
0903311805,1,01,urbano,9713,1526,0,0
0903313303,1,01,urbano,7322,1380,0,0
0903314301,1,01,urbano,7301,1665,0,0
0903317502,1,01,urbano,2636,1208,0,0
0903328603,1,01,urbano,4312,1456,0,0
0903328606,1,01,urbano,5212,1456,0,0
0903341601,1,01,urbano,2271,1640,0,0
0903346501,1,01,urbano,2161,1534,0,0
0903355601,1,01,urbano,2271,1195,1,0
0903360003,1,01,urbano,2712,1408,1,0
0903363901,1,01,urbano,4312,1734,0,0
0903370201,1,01,urbano,7352,1444,0,0
0903370202,1,01,urbano,2271,1444,0,0
0903377001,1,01,urbano,7999,1558,0,0
0903378003,1,01,urbano,2172,1516,0,0
0903379304,1,01,urbano,2655,1218,0,0
0903388405,1,01,urbano,8144,1579,0,0
0903389502,1,01,urbano,2271,1354,0,0
0913408201,1,01,urbano,2271,2562,0,0
0913408205,1,01,urbano,7301,2562,0,0
0913411901,1,01,urbano,7301,1658,0,0
0913416305,1,01,urbano,5212,1207,0,0
0913419605,1,01,urbano,2271,1632,0,0
0913422806,1,01,urbano,3222,1295,0,0
0913423004,1,01,urbano,2652,1498,0,0
0913425801,1,01,urbano,7343,1556,0,0
0913429303,1,01,urbano,2152,1169,0,0
0913437205,1,01,urbano,2271,1643,0,0
0913442804,1,01,urbano,1322,1505,0,0
0913442806,1,01,urbano,2544,1505,0,0
0913457804,1,01,urbano,1722,1738,0,0
0913458004,1,01,urbano,1722,1957,0,0
0913459503,1,01,urbano,2144,1659,0,0
0913465402,1,01,urbano,2655,1512,0,0
0913468205,1,01,urbano,2712,1761,0,0
0913470604,1,01,urbano,2271,1656,0,0
0913477506,1,01,urbano,2271,1501,0,0
0913486203,1,01,urbano,2543,1594,1,0
0913494006,1,01,urbano,2552,1451,0,0
0913498304,1,01,urbano,7301,1610,1,0
0913499506,1,01,urbano,2271,1348,0,0
0913501606,1,01,urbano,2152,1549,0,0
0913504301,1,01,urbano,2175,1212,0,0
0913504301,1,01,urbano,2175,1212,0,0
0913505502,1,01,urbano,2541,1563,0,0
0913505504,1,01,urbano,1721,1563,0,0
0913509401,1,01,urbano,2271,1111,0,0
0913512004,1,01,urbano,2173,1218,0,0
0913527201,1,01,urbano,2271,1251,0,0
0913528902,1,01,urbano,2712,1723,0,0
0913529203,2,01,urbano,2271,934,0,0
0913535304,1,01,urbano,2271,2828,0,0
0913545705,1,01,urbano,2172,718,0,0
0913547906,3,01,urbano,2271,1535,0,0
0913553004,1,01,urbano,2271,1691,0,0
0913554302,1,01,urbano,1421,1591,0,0
0913558205,1,01,urbano,1722,1269,0,0
0913558205,1,01,urbano,2151,1269,0,0
0913562006,1,01,urbano,4233,1861,0,0
0913563306,1,01,urbano,5212,1792,0,0
0923574506,1,01,urbano,7342,1568,0,0
0923583403,1,01,urbano,2271,1735,0,0
0923587004,1,01,urbano,2271,2374,0,0
0923588304,1,01,urbano,2271,2335,0,0
0923596201,1,01,urbano,2542,1407,0,0
0923596202,1,01,urbano,2271,1407,0,0
0923599604,1,01,urbano,7332,1698,0,0
0923600606,1,01,urbano,2552,1098,0,0
0923602005,1,01,urbano,1322,1629,0,0
0923603302,1,01,urbano,2162,1699,0,0
0923604505,1,01,urbano,1421,1497,0,0
0923608806,1,01,urbano,2655,1731,0,0
0923613605,1,01,urbano,2543,1631,0,0
0923613606,1,01,urbano,1721,1631,0,0
0923615301,1,01,urbano,2271,1723,0,0
0923617506,1,01,urbano,1422,1414,0,0
0963620409,1,01,rural,2173,32,1,0
0963629713,1,01,rural,2164,24,0,0
0963633019,1,01,rural,2271,24,0,0
0963635717,1,01,rural,9713,32,0,0
0963635924,1,01,rural,2271,32,0,0
0963635924,1,01,rural,2552,32,0,0
0963636614,1,01,rural,2652,34,0,0
0963642201,1,01,rural,8144,25,0,0
1003654904,1,01,urbano,2173,306,0,0
1003656404,1,01,urbano,5212,241,0,0
1003658605,1,01,urbano,7322,267,0,0
1003675705,1,01,urbano,9713,263,1,0
1003678501,1,01,urbano,9713,310,0,0
1003701704,1,01,urbano,7999,276,0,0
1003710305,1,01,urbano,2552,289,0,0
1003717002,1,01,urbano,9713,266,0,0
1003721504,1,01,urbano,2172,272,0,0
1003724904,1,01,urbano,4312,264,0,0
1003726404,1,01,urbano,2162,276,0,0
1003727703,1,01,urbano,2712,271,0,0
1003731001,1,01,urbano,2172,263,0,0
1003732304,1,01,urbano,9713,285,1,0
1003750201,1,01,urbano,2173,263,0,0
1003761302,1,01,urbano,2552,264,0,0
1003764701,1,01,urbano,7301,258,0,0
1003772802,1,01,urbano,1322,222,0,0
1003781505,1,01,urbano,2172,231,1,0
1003782704,1,01,urbano,2271,247,0,0
1003799804,1,01,urbano,2271,236,0,0
1003799805,1,01,urbano,2172,236,0,0
1003819903,1,01,urbano,2544,237,0,0
1003822403,1,01,urbano,2636,264,0,0
1003824604,1,01,urbano,7999,226,0,0
1003825804,1,01,urbano,2172,220,0,0
1003846304,1,01,urbano,2172,253,0,0
1003847502,1,01,urbano,7353,278,0,0
1003861801,1,01,urbano,2655,242,0,0
1003892020,1,01,urbano,7301,239,0,0
1003893713,1,01,urbano,2271,256,0,0
1003896609,1,01,urbano,2173,301,0,0
1003896609,2,01,urbano,2173,301,0,0
1003897022,1,01,urbano,2172,269,1,1
1063912410,1,01,rural,5212,114,0,0
1063912411,1,01,rural,2172,114,0,0
1063912714,1,01,rural,2271,114,0,0
1063918021,1,01,rural,2172,100,0,0
1063926717,1,01,rural,7313,100,0,0
1063930614,1,01,rural,7332,108,1,1
1063930615,1,01,rural,7332,108,1,1
1063930924,1,01,rural,7343,108,0,0
1063936206,1,01,rural,2172,109,1,0
1063950202,1,01,rural,2172,102,0,0
1063950713,1,01,rural,4312,102,0,0
1063954205,1,01,rural,2172,101,0,0
1063954820,1,01,rural,2172,101,0,0
1103958304,1,01,urbano,7301,1189,0,0
1103989301,1,01,urbano,7611,641,0,0
1103989717,1,01,urbano,7611,641,0,0
